replicate,mean_injuries,injury_rate,rush_mean_injury_difference,rush_injury_rate_difference,borough_injury_rate_manhattan,borough_injury_rate_bronx,borough_injury_rate_brooklyn,borough_injury_rate_queens,borough_injury_rate_staten_island
118,0.3317948573626394,0.24503982213716827,-0.027420568195820227,-0.013656552477651934,0.19687172855471397,0.2676637915213801,0.26152542372881354,0.24309029356778333,0.22413793103448276
119,0.33150404788037413,0.2453962982767193,-0.02587829387581453,-0.010206270906172932,0.19667555665819017,0.26152441807393884,0.2599150743099788,0.2466710546301453,0.21048999309868874
120,0.3314383812230884,0.24388596515914784,-0.026104234278189697,-0.010025251096374976,0.19655301144848183,0.2629069976614499,0.26374089205239437,0.24147511997979287,0.21344140493076663
121,0.33389619039578233,0.24441129841743356,-0.03537561962856994,-0.014300677850598714,0.19181665317307092,0.2635953026196929,0.2697219493443813,0.24682139253279517,0.20890302066772656
122,0.3324046191802925,0.243979774669556,-0.021799531279499684,-0.0044457212126089996,0.1942643391521197,0.26476190476190475,0.26006611850470457,0.2397879323403181,0.22455789122455788
123,0.3326485239073537,0.24547134588504582,-0.02753275369362862,-0.010446355115593164,0.19753162604134528,0.26200436522371773,0.26637295602812844,0.2413793103448276,0.22835674616138515
124,0.3335397142562313,0.24657829810786216,-0.029333665779325835,-0.010530529015825685,0.19931207004377735,0.26001294977337897,0.261930952783889,0.248652732309242,0.2210242587601078
125,0.3342245236822109,0.24623120291935197,-0.030831787312980252,-0.00724495159890623,0.19412420974339903,0.2694952053555274,0.2612875900042355,0.23807603105777958,0.21221122112211221
126,0.33448719031135377,0.24521806020694378,-0.03325018826573911,-0.014004404075344978,0.19831677529582992,0.26499174766183753,0.2615061883784351,0.24521878441974568,0.22298400261181847
127,0.3289993339524761,0.24456139363408663,-0.02727584459646204,-0.0114736218325234,0.19699042407660738,0.2631090487238979,0.2655992564741667,0.24223882842670144,0.21895424836601307
128,0.33748909464441507,0.24683158378596423,-0.032434861786035274,-0.010313356048983507,0.20372202299987635,0.27025310713961714,0.26451392739837054,0.24646638634175996,0.22109732201175702
129,0.33279861912400677,0.24473963170386215,-0.02358425735042652,-0.006948873796568528,0.19766926341123567,0.2605349945034811,0.26324046982996224,0.24727016555125045,0.2207136090937796
130,0.3341119522697211,0.24774153603692342,-0.0272155794484914,-0.012332288704118538,0.20260257767262313,0.26332004349401955,0.2677024200776815,0.24447806354009077,0.2328812437975521
131,0.33449657126239457,0.24655953620578056,-0.021013120483137526,-0.004412876417872635,0.2000125164278115,0.2668317739864245,0.26163703483684814,0.24517287831162998,0.23840841828345938
132,0.33152280978245574,0.24546196493400502,-0.025899543332183472,-0.008387595147130333,0.19824964310098692,0.25655121861828845,0.2660255052323857,0.24184494006979215,0.2274344872209641
133,0.33327704762708843,0.24442067936847436,-0.03074479706408323,-0.009768338458363557,0.19410121080409812,0.2568237095757139,0.2607941810800524,0.24936657545353197,0.2211965811965812
134,0.33500314261859865,0.24678467903076015,-0.029801885892448643,-0.01375897333363904,0.19756612442567986,0.26489028213166144,0.26571416494060957,0.24351468658524275,0.22480889506601806
135,0.33084738130751695,0.2442142984455764,-0.023784280481110476,-0.008747079434104799,0.19633749155042093,0.26024186744164246,0.26506379215966985,0.23549022579178663,0.21153846153846154
136,0.33446842840927216,0.247150536121352,-0.03285224848480245,-0.009190374151829106,0.19547021171836534,0.2707152002926651,0.2673187327237933,0.24529349417049412,0.21724818959842002
137,0.33102561937729247,0.24526496496214786,-0.02383416205083244,-0.0074291290317869685,0.1947174062715153,0.259656652360515,0.26440285051944706,0.24595305544314042,0.21656050955414013
138,0.33641028527472117,0.2473850598973724,-0.023210901774257997,-0.008104632163826564,0.20226973477961,0.2639225181598063,0.26056187918318624,0.24439969796123837,0.23151750972762647
139,0.33126014315331287,0.24544320303192338,-0.023500634345982152,-0.009670643391078676,0.20067243633646722,0.26029252437703143,0.26012211492660114,0.24437668699390183,0.2218905472636816
140,0.3322451430125986,0.24521806020694378,-0.030754558524896225,-0.010556642968710672,0.1982261365750791,0.2557290240116863,0.26087324062724543,0.24828655760668367,0.21670047329276537
141,0.329412095798272,0.2437546318445764,-0.02907418639811965,-0.012233372848977325,0.1938172544628973,0.2553552302749018,0.2603272245717459,0.24350486508175342,0.2291596355045562
142,0.33605380913517013,0.2465970600099438,-0.023422652629472462,-0.006670067551143494,0.1971019877391789,0.2631869141701893,0.2630620713015497,0.2418172690763052,0.23160762942779292
143,0.33823018977663954,0.24919558344825,-0.025132180553606,-0.005658091683332339,0.19872469510307683,0.25770642201834865,0.2709180216802168,0.24327074746857985,0.2245174398916356
